aF1,bF1,cF1,dF1,eF1,F2,F3,F4,F5,F6,Label
0.5836766214844773,0.8896863570472847,1.0,0.898124569271896,0.7469302401561178,0.4566363125055028,1.150400278091845,1.136279841420972,0.9466253630247834,2.70439270896952,Person 1
0.5788694158798772,0.892658170516267,1.0,0.8977597558491339,0.7442636804812421,0.4537970857979397,1.157935243193197,1.1381010580854976,0.9463771292495261,2.702560302686981,Person 1
0.5793939239392835,0.8947909419864545,1.0,0.9018147921155789,0.7562685633905426,0.4526354873497615,1.1621074318063525,1.1362493399423075,0.9495350436222153,2.693533579257459,Person 1
0.5838275452402731,0.8775888216607526,1.0,0.8965288600384088,0.7451913828953547,0.4573713770492373,1.1395474166707777,1.1332512544184379,0.942802652305545,2.7076635605447663,Person 1
0.5811918231209473,0.8839735796611979,1.0,0.9034704541629676,0.742123434045884,0.4572516562423374,1.1271569999882218,1.1376651995280354,0.9404503405949354,2.667069775163755,Person 1
0.5849330308076172,0.8905070459569201,1.0,0.8967639834043521,0.7438196099086628,0.45847993327572234,1.1281867745547227,1.137547476803697,0.9437432312854424,2.67453933180446,Person 1
0.5745667134515163,0.8840017632058761,1.0,0.8943236429840753,0.7283353992091717,0.4524951917460259,1.1371715620978449,1.136749118802917,0.9453770357786584,2.6935514296190424,Person 1
0.5595308872246957,0.8891671557720363,1.0,0.9108855706703557,0.7609723184165859,0.4557937400763354,1.1239775962174279,1.117621676210555,0.867682485147873,2.778106552448467,Person 1
0.5816634480589639,0.9025192309166954,1.0,0.901528531575656,0.727672313632264,0.4630647618042699,1.0452288946407964,1.0986896490660367,0.778059572813503,2.830446336535748,Person 2
0.6161319382479666,0.911848933796308,1.0,0.9182750257948871,0.7651174497662293,0.45321199771134524,1.1825893710382984,1.0983271213825376,0.9076893125814728,2.783622828270478,Person 2
0.6446187415620036,0.9080321446903764,1.0,0.926880820976791,0.770540874281098,0.44821047893904503,1.1872555598987022,1.1034976053332537,0.8975772353349143,2.7139945004917503,Person 2
0.5762506485462962,0.886418146874791,1.0,0.9128303008024051,0.7735869372713523,0.45104996653341267,1.1565338718933922,1.1044140107630636,0.9420790034599673,2.7465083537080655,Person 2
0.5961917198475208,0.9026900274010093,1.0,0.9227702513720294,0.7632129860124126,0.4530367831358815,1.1220512148371045,1.097240485913689,0.8538464781909368,2.8655169219746464,Person 2
0.6004759427469535,0.9204906991096474,1.0,0.9110957310272785,0.7348026217105507,0.45991191535099124,1.1651940550666544,1.094756639891725,0.8256471069083292,2.846457780989868,Person 2
0.6115786571210918,0.918066960580549,1.0,0.9404406252485273,0.779617144584779,0.4500747029408734,1.1315411423525643,1.0942619155966513,0.8422108713837513,2.7698132334560652,Person 2
0.5816634480589639,0.9025192309166954,1.0,0.901528531575656,0.727672313632264,0.4630647618042699,1.0452288946407964,1.0986896490660367,0.778059572813503,2.830446336535748,Person 2
0.5543776220930037,0.8586197209133707,1.0,0.9253791882769178,0.734096826680301,0.4498742866749266,1.1848384824880374,1.1071133925262175,0.9224625988867986,2.8131244045929864,Person 3
0.5783736503137675,0.8686051840737722,1.0,0.9183984203037151,0.7321993564543763,0.45591804616137915,1.1329589447505226,1.101352982518402,0.9150487833364849,2.825715849503292,Person 3
0.5682827429731543,0.8608765481210664,1.0,0.9558588370134828,0.8049403139204129,0.4533688151252361,1.2140145830842155,1.117480775108345,0.9225778781679974,2.7702593769828106,Person 3
0.5765627325603712,0.8587131956311593,1.0,0.9428268431333556,0.7794324269069814,0.4538883250819998,1.1556616841908713,1.1004543016963806,0.8806841854333695,2.818484036812849,Person 3
